2024-09-02 11:15:24,096 - DEBUG - Initializing HTTP session.
2024-09-02 11:15:58,223 - INFO - UMAUSDT has been tested. win rate: 0.4146341463414634, trade count: 41
2024-09-02 11:15:58,361 - INFO - UNIUSDT has been tested. win rate: 0.5714285714285714, trade count: 7
2024-09-02 11:15:58,495 - INFO - USDCUSDT has been tested. win rate: 0, trade count: 0
2024-09-02 11:15:58,632 - INFO - USDEUSDT has been tested. win rate: 0, trade count: 0
2024-09-02 11:15:58,767 - INFO - USTCUSDT has been tested. win rate: 0.5384615384615384, trade count: 26
2024-09-02 11:15:58,902 - INFO - UXLINKUSDT has been tested. win rate: 0.7857142857142857, trade count: 14
2024-09-02 11:15:59,038 - INFO - VANRYUSDT has been tested. win rate: 0.6363636363636364, trade count: 22
2024-09-02 11:15:59,173 - INFO - VETUSDT has been tested. win rate: 0.5, trade count: 4
2024-09-02 11:15:59,301 - INFO - VGXUSDT has been tested. win rate: 0.6392156862745098, trade count: 255
2024-09-02 11:15:59,432 - INFO - WAVESUSDT has been tested. win rate: 0.5714285714285714, trade count: 21
2024-09-02 11:15:59,568 - INFO - WAXPUSDT has been tested. win rate: 0.42857142857142855, trade count: 7
2024-09-02 11:15:59,707 - INFO - WIFUSDT has been tested. win rate: 0.5, trade count: 40
2024-09-02 11:15:59,842 - INFO - WOOUSDT has been tested. win rate: 0.4, trade count: 10
2024-09-02 11:15:59,982 - INFO - WUSDT has been tested. win rate: 0.5, trade count: 16
2024-09-02 11:16:00,120 - INFO - XAIUSDT has been tested. win rate: 0.3888888888888889, trade count: 18
2024-09-02 11:16:00,257 - INFO - XEMUSDT has been tested. win rate: 0.6666666666666666, trade count: 6
2024-09-02 11:16:00,395 - INFO - XLMUSDT has been tested. win rate: 1.0, trade count: 1
2024-09-02 11:16:00,535 - INFO - XRDUSDT has been tested. win rate: 1.0, trade count: 1
2024-09-02 11:16:00,675 - INFO - XRPUSDT has been tested. win rate: 0.6666666666666666, trade count: 3
2024-09-02 11:16:00,809 - INFO - XTZUSDT has been tested. win rate: 0.5, trade count: 4
2024-09-02 11:16:00,947 - INFO - XVSUSDT has been tested. win rate: 0.625, trade count: 8
2024-09-02 11:16:01,085 - INFO - YFIUSDT has been tested. win rate: 0.0, trade count: 4
2024-09-02 11:16:01,222 - INFO - YGGUSDT has been tested. win rate: 0.46153846153846156, trade count: 13
2024-09-02 11:16:01,364 - INFO - ZETAUSDT has been tested. win rate: 0.5833333333333334, trade count: 12
